Company Name,Ticker,Cash Flow ,Net Margin,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Current Ratio,Debt/Equity Ratio,Last Qtr EPS,12 Mo Trailing EPS,EBITDA ,EBIT ,Annual Sales,Dividend ,Market Value/# Analysts,Current ROA (TTM),ROA (5 Yr Avg),52 Week High,Market Cap ,Div. Yield %,PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,P/E (Trailing 12 Months),Shares Outstanding ,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Operating Margin 12 Mo,Avg Volume
"Birks Group Inc.","BGI","-11.15401",".1","2.46","3.75","57.50999","75.20999","1.31","","","","-13.99","-16.77001","114.38","0","","","","2.69","15.77","0","","",".63","","","10.24","","","","","24124.4"
"BG Medicine Inc.","BGMD","-5.22301","","","0","1.17999","1.95","","","","","-5.07001","-5.15001","1.57","0","","","-129.213",".09",".41","0","","","","","","11.37","","","","","4409.95"
"BeiGene, Ltd.","BGNE","-88.35501","-.39","22.82","155.49","149.97999","913.48999","8.14",".16","-2.92","-4.6","-82.21","-86.96","238.39","0","2114.57763","-17.84","","216.77","8458.31","0","","","6.9","26.13","","53.76","-24.14","-20.7","","-75.19","349595.5"
"B&G Foods, Inc.","BGS","195.44299",".13","12.54","2217.57006","201.47999","886.59002","3.73","2.51",".38","2.05","294.82","239.83999","1668.06","1.86","527.45599","4","4.74749","39","2109.82","5.94","","10.89","2.55","1.24","15.61","65.93","16.12","4.68","5.7328","7.98","670606.69"
"BG Staffing Inc","BGSF","15.70199",".02","5.96","41.18999","21.67","37.99","1.96",".39",".54","1.43","24.29","17.75","272.6","1","146.64361","12.38","10.36499","29.07","293.29","4.13",".89","16.22","4.88","1.03","20.33","10.09","29.23","16.19","15.03999","4.64","146429.25"
"Biglari Holdings Inc.","BH.A","","","","","","","","","-21.73","","","","","0","","","","1175.52","2205.94","0","","","","","","2.27","","","","","284.9"
"Bausch Health Cos Inc.","BHC","4358",".28","10.2","25235","4268","4746","1.14","6.99",".93","3.84","3108","99","8724","0","954.15502","3.66","6.9502","26.86","7633.24","0",".32","1.75","2.15",".9","5.7","348.71","27.83","4.47","8.8729","15.91","4220472.5"
"Benchmark Electronics, Inc.","BHE","129.376","-.01","26.71","193.39999","478.30999","1618.67004","3.08",".15",".3","1.59","130.85","82.18","2466.81","0","","3.8","4.5004","35.6","1197.26","2.33","","9.88",".96",".47","16.16","46.59","5.99","5.15","5.8206","3.08","440477.81"
"Brighthouse Financial, Inc.","BHF","-637","-.06","112.7","3612","36616","16295",".46",".27","1.27","6.45","-874","-615","6842","0","1656.19958",".35","","67.46","4968.6","0","","",".37",".67","6.43","119.78","5.58","4.43","","10.52","1130405.5"
"Baker Hughes, a GE company","BHGE","1325","0","89.44","6312","8897","18499","1.9",".17",".1",".39","1074","-29","17259",".68999","1160.48449",".3","1.2084","37.52","12765.33","2.32","5.24","10.02",".35",".58","79.51","411.65",".43",".38","1.57439",".76","3966148"
"BOC Hong Kong  Ltd.","BHKLY","3905.01708",".4","60.03","5211.66992","288528.09375","218888",".76","","","","4980.20019","4730.1499","10080.58","2.93549","","","","107.49","51071.81","3.96","","13.08","1.61","","","528.64","","","","","12137.3"
"Liberty Silver Corp.","BHLL","-3.13001","","-.01","0",".40999",".81999","12.14","","-.05","","-3.06","-3.06","","0","","-310.75","-576.81702","2.48","15.71","0","","","","","","33.01","-1381.77","-1381.77","","","1221.05"
"BOOHOO COM PLC","BHOOY","","","","","","","","","","","","","","0","908.31427","","","67.72","2724.94","0","","","","","","57.46","","","","","10.75"
"BHP Billiton Limited","BHP","14451","","38.72","29233","11366","21056","1.75","","","","19615","11896","38285","1.96","25645.18554","","","52.26","76935.55","4.59","","5.32","1.24","","","1605.5","","","","","2219585.25"
"Ashford Hospitality Prime, Inc.","BHR","80.36199",".06","11.7","829.09997","56.79999","239.66","4.62","2.61",".56","1.68","124.06999","66.73","414.06",".63999","88.81171","2.65",".21941","11.97","355.25","5.86","","4.37",".93",".84","6.51","32.5","10.61","2.79",".23607","9.3","151595.2"
"Biohitech Global, Inc.","BHTG","-7.95101","-3.45",".08","15.17","3.33999","1.58",".83","3.97","-.39","-1.38","-6.19001","-6.59001","2.42","0","","-139.56","-382.50901","7.6","60.54","0","","","50.88","21.35","","14.55","","-311.13","","-534.56","12733.15"
"BIOHAVEN PHARM","BHVN","-139.196","","2.96","0","9.42","136.66","17.85","0","-1.01","-5.27","-125.28","-125.28","","0","466.28735","-111.76","","43","1398.86","0","","","11.77","","","40.13","-151.3","-151.3","","","237462.75"
"Biocorrx Inc.","BICX","-28.21","-45.69","-.02","2.00999","1.62999",".05",".13","0","0","-.03","-17.07","-18.56",".65","0","","-882.16","",".25","28.18","0","","","","49.87","","247.19","-241.46","-579.13","","-866.55","197799.25"
"Sotheby's","BID","147.43899",".12","11.76","849.5","1516.61999","1902.07995","1.23","1.17","1.09","2.2","199.63","173.88999","989.39","0","1223.22814","4.53","4.7772","59.67","2446.46","0","","16.87","4.03","2.38","21.55","51.61","20.32","8.47","7.63159","11.53","403135.16"
"Baidu, Inc.","BIDU","4616",".22","57.85","5504","12611","23235","2","","3.18","11.96","5324","3518","13030","0","38606.52343","9.39","10.96599","284.07","77213.05","0","1.2","16.73","3.85","5.36","21.29","346.76","20.16","14.42","14.383","25.55","4255560.5"
"BOULDER GR&INC","BIF","","","","","","","","","","","","","",".374","","","","11.76","1187.37","3.03","","","","","","105.92","","","","","151721.25"
"Big Lots, Inc.","BIG","298.49798",".04","16.4","199.8","589.59997","1021.96997","1.65","",".95","4.25","408.05999","302.05999","5270.98","1","322.86245","10.62","9.0235","64.22","1937.17","2.5",".88","6.76","2.93",".37","11.3","40.34","28.85","20.79","17.767","3.45","1034942.88"
"Big Tree Group Inc.","BIGG","","","","","","","","","","","","","","0","","","",".01",".04","0","","","","","","22.21","","","","","42986.2"
"Biogen Inc.","BIIB","5726.3999",".21","60.83","5935","3368.19995","7873.2998","2.36",".48","5.8","23.42","6209.7998","5128.7998","12273.9","0","2781.68603","20.41","21.297","383.83","69542.15","0","1.33","12.75","5.68","5.4","14.74","201.44","38.17","26.17","26.524","38.35","1932861.25"
"Bilibili Inc. Sponsored ADR","BILI","18.54","-.07","-1.16","0","214.86","330.92001","1.14","","-.15","","19.90999","-26.87001","379.39","0","2979.74658","","","21.28","2979.75","0","","","","","","278.48","","","","","5002549"
"Bio-Rad Laboratories, Inc.","BIO","123.23999",".06","155.49","434.57998","502.69","1976.64001","4.5",".09","1.64","5.22","119.70999","119.70999","2160.15","0","4722.12548","2.99","2.72499","325.03","9444.25","0","3.46","76.5","2.04","4.14","60.64","29.83","4.23","3.78","3.4684","6.9","134751.45"
"Bio-Rad Laboratories, Inc.","BIO.B","123.23999",".06","155.49","434.57998","502.69","1976.64001","4.5",".09","1.64","5.22","119.70999","119.70999","2160.15","0","","2.99","2.72499","317","9457.38","0","","76.61","2.04","4.14","60.73","29.83","4.23","3.78","3.4684","6.9","120.55"
"Bioasis Technologies Inc.","BIOAF","-2.251","-8.99",".03","0",".56999",".55","5.17","","-.02","-.1","-2.25","-2.28",".46","0","","-215.8","-136.28",".91","20.44","0","","","10.28","61.57","","56.83","-243.43","-243.43","-162.808","-1517.77","8105.95"
"BioAmber Inc.","BIOAQ","-21.542","-6.57",".42","32.68999","11.28999","15.23999","1.35","","-.07","-.79","-94.37001","-102.1","14.94","0","","-22.94","-14.068",".67","1.2","0","","",".02",".08","","129.45","-45.7","-26.46","-18.39","-200.89","22531228"
"Biocept, Inc.","BIOC","-21.04401","-4.26","1.11","1.14999","4.65999","4.25","1.2",".42","-2.7","-17.42","-20.55","-21.12001","5.07","0","3.86545","-231.19","-677.84803","42.34","7.73","0","","","3.07","2.07","","2.27","-587.8","-465.73","-440.94501","-642.49","172720.95"
"Biolase, Inc.","BIOL","-14.56701","-.36",".99","0","13.36999","36.04999","1.98","0","-.2","-.85","-16.23","-17.43001","46.93","0","","-44.35","-39.97901","3.75","36.66","0","","","1.8",".8","","20.6","-72.43","-70.94","-90.10801","-38.01","55711.15"
"Bioqual Inc.","BIOQ","","","","","","","","",".89","3.82","","","36.6",".6","","","","43.5","29.53","1.83","","","",".84","8.57",".9","","","","9.76","826.65"
"BioScrip, Inc.","BIOS","-9.79","-.08","-.91","478.85998","105.12999","187.69","1.91","-4.21","-.14","-.53","19.36","-15.36","817.19","0","125.9119","-9.62","-6.5518","3.18","377.74","0","","","",".5","","128.05","","-12","-8.3608","-7.42","496011.81"
"Brookfield Infrastructure Partners LP","BIP","1240",".04","33.35","9701","1564","1512",".42",".84",".21",".95","1846","1175","3535","1.74","6922.13281","1.42","1.0355","45.72","13844.27","4.69","1.25","8.93","1.2","3.46","42.18","345.5","3.29","2.06","1.34409","10.32","203684.45"
"Biophan Technologies Inc.","BIPH","","","","","","","","","","","","","","0","","","","0",".31","0","","","","","","238.36","","","","","4475667.5"
"Bitauto Holdings Limited","BITA","-109.34301","-.2","42.95","1242.30004","3359.47998","4161.37011","1.18","",".13",".72","-38.21","-167.32001","1295.23","0","1440.97534","-2.81","5.95209","53.21","1440.98","0","","",".47","1.01","","71.73","-8.19","-6.7","8.73239","-13.81","751186.88"
"BJ's Wholesale Club Holdings, Inc.","BJ","","","","","","","","","","","","","","0","405.91909","","","27.05","3247.35","0","1.32","","","","","126.31","","","","","574136.31"
"Beijing Enterprises Holdings Ltd.","BJINY","1332.13305",".12","80.49","6940.43017","4099.20019","4285.56982","1.05","","","","1479.93005","1030.55004","7378.28","1.17659","","","","62.87","5892.51","3.63","","4.42",".58","","","126.21","","","","","36.7"
"BJ's Restaurants, Inc.","BJRI","99.43199",".04","14.04","163.5","122.54","60.31999",".44",".37",".79","1.98","108.55","39.88999","1031.78",".10999","155.89091","6.15","5.30019","66.75","1403.02",".66","2.07","13.85","4.76","1.31","33.71","21.02","15.76","9.94","8.4967","3.92","363834.94"
"The Bank of New York Mellon Corporation","BK","5439.16503",".25","38.02","31007","292953","205019",".69",".82","1.03","4.02","6996","5522","16547",".86","6460.89453","1.19",".90504","58.42","51687.16","2.17","1.61","9.63","1.36","2.9","12.86","999.95","11.4","5.96","5.28359","24.29","6356304"
"Dts8 Coffee Company, Ltd.","BKCT","","","","","","","","","","","","",".31","0","","","",".03",".5","0","","","","","","49.6","","","","","2880"
"Brookdale Senior Living Inc.","BKD","745.466","-.12","4.91","4539.77978","1095.77001","901.86999",".75","4.93","-.26","-.91","487.95999","-402.63001","4747.12","0","1527.51171","-2.3",".30535","12.38","1527.51","0","","2.04","1.66",".33","","187.65","-13.56","-2.91",".31716","-3.64","2391197"
"Buckle, Inc. (The)","BKE","125.327",".1","8.17","0","97.9","360.57998","4.05","",".38","1.9","175.1","139.47999","913.38","1.25","1284.51831","16.4","23.66699","28.4","1284.52","3.8","","10.25","3.22","1.42","13.84","48.84","21.93","21.93","33.56","10.13","372545"
"The Bank of East Asia Ltd.","BKEAY","911.68902",".36","4.7","129.19","81637.54687","77353.22656",".95","","","","1260.52001","1156.98999","3304.24",".10835","9965.51757","","","4.61","9965.52","3.79",".83","10.77",".76","","","2807.19","","","","","2757.35"
"Blueknight Energy Partners L.P., L.L.C.","BKEP","29.336",".11","-7.61","307.58999","23.63999","23.56999",".98","-1.31","-.11","-.17","67.18","34.22999","181.94",".57999","93.08125","3.43","7.0355","5.95","93.08","12.08","","3.45","",".42","","35.13","-4.82","3.81","7.6564","5.58","205236.2"
"BKF Capital Group Inc.","BKFG","-.60001","","","0",".12999","5.17","","",".27","","-.60001","-.60001","","0","","","-14.801","15","8.07","0","","","","","",".75","","","-14.86601","","47.8"
"Berkeley Group Holdings PLC Unsponsored ADR","BKGFY","838.11999",".28","","388.07998","2527.30004","5560.41015","","","6.51","","1067.07995","1063.45996","3198.18","1.40069","3281.47998","","","58.6","6562.96","3.07","","8.04","","","","134.16","","","","","235.5"
"Black Hills Corporation","BKH","381.79998",".11","35.95","3109.3999","649.09997","570.78002",".52","1.48",".45","3.56","616.34997","419.85","1680.3","1.80999","1093.8739","2.94","2.95239","70.83","3281.62","3.1","4.02","8.58","1.7","1.9","17.2","53.6","10.4","4","4.33629","11.24","493522.31"
"Bank Hapoalim","BKHYY","904.77899",".16","37.54","8078.12011","97907.97656","102235.29687","1.04","",".87","2.72","1770.56994","1597.38","4677.61",".61697","",".57",".66316","38.33","9211.48","2.04","","10.18",".92","1.91","12.7","266.61","7.15","3.94","4.15399","14.89","2019.15"
"Black Knight Financial Services, Inc.","BKI","410.604",".17","11.25","1379","231.6","280.70001","1.31",".85",".46","1.62","459.89999","249.89999","1051.6","0","1123.73156","6.13","2.48379","55.85","7866.12","0","2.16","19.42","4.68","7.29","34.87","149.4","13.52","7.27","2.79029","20.88","463676.09"
"BlackRock Investment Quality Municipal Trust Inc.","BKN","","","","","","","","","","","","","",".78399","","","","15.48","240.09","5.11","","","","","","17.19","","","","","17969.35"
"Booking Holdings Inc.","BKNG","4289.67822",".18","220.61","10063.58984","3497.8601","9034.7998","1.92",".86","20.67","84.75","5094.10009","4652.29003","12681.08","0","5140.04492","11.02","17.27899","2206.09","87380.77","0","1.46","20.93","8.34","6.38","21.72","47.47","24.74","13.6","21.124","20.42","545969.63"
"Bankinter SA","BKNIY","628.27801",".29","6.03","0","2252.8999","70568.88281",".2","",".2",".67","834.22998","765.34997","1934.25",".23058","4033.66137",".73",".59874","11.55","8067.32","2.73","1.04","12.84","1.49","3.54","13.4","898.87","12.03","5.06","5.82299","26.43","272.55"
"Barnes & Noble, Inc.","BKS","149.71","-.03","5.66","158.69999","1042.56994","1098.68005","1.05","","-.18",".49","-19.57","-127.86001","3662.28",".6","","1.83",".72847","7.85","436.76","10","","2.92","1.06",".12","12.24","72.79","7.29","5.68","2.2562",".96","921474.88"
"BlackRock Income Trust Inc.","BKT","","","","","","","","","","","","","",".31799","","","","6.4","368.75","5.64","","","","","","63.8","","","","","110509.85"
"RELM Wireless Corporation","BKTI","-2.68001","-.09","2.33","0","10.31","36.97999","3.93","0",".07",".06","-3.84","-4.78001","39.39",".15","","-4.75","2.3373","4.35","48.62","2.22","","","1.55","1.04","60","13.51","-6.15","-6.15","2.58579","-4.33","5492.75"
"BankUnited, Inc.","BKU","279.953",".45","29.42","4771","22281.31054","21500.39062",".98","1.64",".82","3.07","476.33999","487.70999","1362.36",".83999","532.29095","1.11","1.0819","44.24","4258.33","2.08","1.37","15.43","1.37","2.92","13.17","105.35","11.47","4.37","3.93199","23.16","852578.38"
"BIO-key International Inc.","BKYI","-2.705","-.68",".91","0","2.31999","7.01","4.15","0","-.15","-.69","-2.70001","-4.27","6.3","0","","-34.29","-76.28901","3.52","22.54","0","","","1.97","4.03","","12.59","-38.78","-38.78","-560.779","-88.72","23133.6"
"BLACKLINE INC","BL",".81999","-.22","5.82","0","137.02999","193.94999","1.36","0",".01",".04","-17.48","-37.48","177.03","0","627.84997","-5.19","","49.79","2511.4","0","","3005.81","8","12.38","","53.94","-7.59","-7.59","","-11.43","384022.69"
"Blue Bird Corporation","BLBD","51.83499",".03","-1.98","143.22","138.75","160.44","1.06","-2.56",".91","1.47","60.09999","44.52999","990.6","0","296.18768","14.57","7.1802","24.6","592.38","0","","10.22","",".59","15.72","27.11","-45.73","51.91","34.359","4.18","102711.35"
"Bellicum Pharmaceuticals, Inc.","BLCM","-85.463","-496.05","2.6","35.06999","12.14999","101.65","10.24",".32","-.6","-2.6","-83.57","-88.1",".19","0","94.06732","-64.46","-60.098","12.73","282.2","0","","","2.51","","","43.35","-98.87","-73.01","-68.06","","481961.16"
"Cabinet Grow Inc.","BLCS","-1.66","","","0","2.91",".00558","","","-.1","",".03999","-.95",".01","0","","","-1635.34498","7.47","6.49","0","","","","","","1.2","","","","","58.35"
"TopBuild Corp.","BLD","118.606",".08","29.49","229.38","351.39999","511.58999","1.56",".69","1.03","3.43","152.89999","136.05","1906.27","0","527.04431","6.46","5.2968","87.01","2635.22","0","","22.18","2.51","1.26","21.56","35.64","12.42","9.15","7.9302","5.89","355760.56"
"Ballard Power Systems, Inc.","BLDP","-.14001","-.07",".63","6.21999","39.41999","102.8","2.64",".05","-.02","-.07","-.68001","-5.74","121.3","0","135.84544","-6.84","-12.02001","5.86","543.38","0","","","4.82","4.58","","178.74","-9.99","-9.5","-18.51301","-9.86","581682.56"
"Builders FirstSource, Inc.","BLDR","246.27999",".01","4.02","1771.93994","798.34997","1395.85998","2.04","4.23",".54","1.57","384.17001","285.08999","7034.21","0","326.77505","5.82","3.1842","23.03","1960.65","0","","7.84","4.25",".26","10.89","114.72","44.19","7.98","4.53","2.45","1440894.88"
"BioLife Solutions, Inc.","BLFS","-2.08501","-.23","1.19","0","1.50999","9.93","11.32","0",".05","-.04","-1.89","-2.32","11.02","0","108.37483","1.92","-28.54101","21.99","325.12","0","","","16.55","21.55","","16.46","2.24","2.24","-39.599","1.76","277601.66"
"Bb Liquidating Inc.","BLIAQ","","","","","","","","","","","","","","0","","","",".02","","0","","","","","","","","","","","22442.5"
"Bb Liquidating Inc.","BLIBQ","","","","","","","","","","","","","","0","","","",".02",".22","0","","","","","","72","","","","","301.1"
"Bridgeline Digital, Inc.","BLIN","-.39101","-.1","1.26","2.5","3.61999","4.11999",".98",".53","-1.24","-1.38","-.74001","-1.38","16.29","0","3.89893","-37.93","-13.87801","3.03","3.9","0","","",".73",".26","","4.24","-64.26","-49.78","-18.959","-40.64","910871.88"
"BlackRock, Inc.","BLK","3956",".4","201.68","29573","3314","9737","3.87",".88","6.66","25.52","5722","5482","12491","10","9458.28417","1.95","1.49969","593.26","75666.27","2.43","1.47","19.17","2.35","5.45","18.58","159.58","13.2","6.62","5.39779","29.97","722672.25"
"Blackbaud, Inc.","BLKB","150.88299",".08","7.17","429.64001","976","794.09997",".77","1.35",".69","2.52","141.05999","66.27999","788.31",".47999","678.02441","6.05","6.32859","118.9","4746.17",".49","4.52","31.14","13.63","5.72","52.81","48.58","27.7","11.92","12.527","10.65","420765.56"
"Global Blockchain Technologies Corp.","BLKCF","","","","","","","","","","","","","","0","","","",".17","57.43","0","","","","","","364.66","","","","","941327.38"
